,,,,,jersey_number,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Adam Hložek,9,"FW,MF",23-321,27,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Alexandr Sojka,24,CM,23-070,83,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Jaroslav Zelený,20,LM,33-295,90,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Ladislav Krejčí,7,CB,27-052,90,1,0,0,0,1,1,0,0,3,1,0,1,2,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Lukáš Provod,17,FW,29-231,63,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Matej Kovar,1,GK,26-025,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Michal Sadílek,18,"DF,FW",27-011,27,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Mojmír Chytil,13,FW,27-043,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Patrik Schick,10,FW,30-138,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Pavel Šulc,15,FW,25-164,63,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Robin Hranáč,4,CB,26-133,90,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Tomáš Chorý,19,FW,31-136,27,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,beebb792
INT-World Cup,2026,2026-06-11 Korea Republic-Czechia,Czechia,Tomáš Souček,22,CM,31-104,90,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,,,beebb792
